ImageNumber,ObjectNumber,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,Intensity_MedianIntensity_CDX2,Intensity_MedianIntensity_CK20,Intensity_MedianIntensity_CK7,Intensity_MedianIntensity_DAPI,Intensity_MedianIntensity_Ki67,Intensity_MedianIntensity_PanCK
1,164,35,1571,1097,1566,1090,0.3960784375667572,0.18627449870109558,0.0019607844296842813,0.3705882281064987,0.0,0.4117647111415863
1,165,117,533,1098,520,1089,0.4431372582912445,0.0313725508749485,0.0,0.3686274588108063,0.0,0.0
1,166,35,1562,1098,1557,1091,0.5058823823928833,0.03529411926865578,0.003921568859368563,0.3764705955982208,0.0,0.0
1,167,45,1465,1101,1460,1092,0.46666666865348816,0.0,0.0,0.4156862795352936,0.0,0.0
1,168,88,1473,1104,1465,1093,0.47843137383461,0.0,0.0,0.3960784375667572,0.0,0.0
1,169,70,1482,1105,1475,1095,0.46666666865348816,0.007843137718737125,0.0,0.3764705955982208,0.0,0.0
1,170,54,1671,1112,1665,1103,0.31960783898830414,0.07254902273416519,0.02352941269055009,0.40784311294555664,0.0,0.40392157435417175
1,171,49,1425,1139,1418,1132,0.2862745225429535,0.09803921356797218,0.0,0.42941175401210785,0.0,0.4058823436498642
1,172,99,501,1148,490,1139,0.35294121503829956,0.2078431397676468,0.0117647061124444,0.3372548818588257,0.0,0.06666667014360428
1,173,99,976,1153,965,1144,0.4862745404243469,0.0,0.019607844296842813,0.43921566009521484,0.0,0.003921568859368563
1,174,120,766,1179,758,1164,0.4588235020637512,0.0,0.003921568859368563,0.3960784375667572,0.0,0.0
1,175,36,1262,1199,1256,1193,0.34117650985717773,0.0470588244497776,0.0,0.40392157435417175,0.0,0.35294121503829956
1,176,48,812,1227,806,1219,0.4490195959806442,0.027450978755950928,0.0,0.3588235229253769,0.0,0.3019607961177826
1,177,30,1232,1226,1226,1221,0.35294121503829956,0.18627449870109558,0.0,0.35294121503829956,0.0,0.0784313753247261
1,178,72,1585,1271,1576,1263,0.2960784435272217,0.07450980693101883,0.0,0.37843137979507446,0.0,0.2607843279838562
1,179,36,1578,1273,1572,1267,0.33725492656230927,0.037254903465509415,0.0,0.36862747371196747,0.0,0.2803921699523926
1,180,24,1656,1281,1652,1275,0.4647058695554733,0.0,0.0,0.3921568691730499,0.0,0.005882353289052844
